alcohol_type,Year,Value
Bière,2006-01-01,9.41
Alcool fort,2007-01-01,17.49
"Champagne, cidre et apéritif",2007-01-01,16.03
Vins de qualité supérieure,2007-01-01,14.37
Vins de consommation courante,2007-01-01,5.24
Bière,2007-01-01,9.01
Alcool fort,2008-01-01,17.58
"Champagne, cidre et apéritif",2008-01-01,15.76
Vins de qualité supérieure,2008-01-01,14.38
Vins de consommation courante,2008-01-01,5.55
Bière,2008-01-01,8.27
Alcool fort,2009-01-01,17.53
"Champagne, cidre et apéritif",2009-01-01,15.43
Vins de qualité supérieure,2009-01-01,14.31
Vins de consommation courante,2009-01-01,5.66
Bière,2009-01-01,8.29
Alcool fort,2010-01-01,17.81
"Champagne, cidre et apéritif",2010-01-01,15.35
Vins de qualité supérieure,2010-01-01,14.09
Vins de consommation courante,2010-01-01,5.54
Bière,2010-01-01,8.29
Alcool fort,2011-01-01,17.28
"Champagne, cidre et apéritif",2011-01-01,14.87
Vins de qualité supérieure,2011-01-01,13.78
Vins de consommation courante,2011-01-01,5.41
Bière,2011-01-01,8.88
Alcool fort,2012-01-01,17.27
"Champagne, cidre et apéritif",2012-01-01,14.71
Vins de qualité supérieure,2012-01-01,13.53
Vins de consommation courante,2012-01-01,5.46
Bière,2012-01-01,8.84
Alcool fort,2013-01-01,16.92
"Champagne, cidre et apéritif",2013-01-01,14.3
Vins de qualité supérieure,2013-01-01,13.68
Vins de consommation courante,2013-01-01,5.81
Bière,2013-01-01,9.98
Alcool fort,2014-01-01,16.96
"Champagne, cidre et apéritif",2014-01-01,14.19
Vins de qualité supérieure,2014-01-01,13.76
Vins de consommation courante,2014-01-01,5.83
Bière,2014-01-01,10.26
Alcool fort,2015-01-01,16.87
"Champagne, cidre et apéritif",2015-01-01,13.79
Vins de qualité supérieure,2015-01-01,13.65
Vins de consommation courante,2015-01-01,5.72
Bière,2015-01-01,10.73
Alcool fort,2016-01-01,17.09
"Champagne, cidre et apéritif",2016-01-01,13.36
Vins de qualité supérieure,2016-01-01,13.58
Vins de consommation courante,2016-01-01,5.64
Bière,2016-01-01,11.26
Alcool fort,2017-01-01,16.63
"Champagne, cidre et apéritif",2017-01-01,12.87
Vins de qualité supérieure,2017-01-01,13.5
Vins de consommation courante,2017-01-01,5.36
Bière,2017-01-01,11.98
Alcool fort,2018-01-01,16.7
"Champagne, cidre et apéritif",2018-01-01,12.39
Vins de qualité supérieure,2018-01-01,12.4
Vins de consommation courante,2018-01-01,5.41
Bière,2018-01-01,12.84
