Name,EcoScore,Countries,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,Category_10,Category_11,Category_12,Category_13,Category_14,Category_15,Category_16,Category_17
Roche Mazet - Merlot,27,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Porto Tawny,39,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Vins portugais,Porto,,,,,,,,,
Oyster Bay Sauvignon Blanc 75CL,23,"['en:australia', 'en:france']",Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
Vin blanc,38,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
Sauvignon,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Pays d'Oc,,,,,,,,,,,,
Vin rouge,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Sable de camargue,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Sable de Camargue,,,,,,,,,,,,
Clairette de Die,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,Clairette de Die,Vins mousseux,,,,,,,,,,
Porto Cálem Velhotes Tawny Port Wine,31,"['en:france', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Vins portugais,Porto,,,,,,,,,
Vin blanc,45,"['en:france', 'en:germany']",Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
Vino,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins espagnols,Vino Viejo,,,,,,,,,,,,
Vin Blanc Sec,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
Cabernet d'Anjou A.O.C. 2017,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,Cabernet d'Anjou,,,,,,,,,,,
Christkindles Glühwein,,"['en:france', 'en:germany']",Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Studio by miraval,22,"['en:australia', 'en:france']",Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Champagne brut Cordon Rouge,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,Champagnes,Champagnes français,Champagnes bruts,,,,,,,,,
Rose pamplemousse,,"['en:belgium', 'en:france']",Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
,22,"['en:australia', 'en:france']",Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
"Ventoux AOP, rouge",,"['en:france', 'en:united-kingdom']",Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Mouton Cadet,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Bordeaux,,,,,,,,,,,
,22,"['en:australia', 'en:france']",Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Vin mousseux brut blanc de blancs 75 cl Charles Volner,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins mousseux,,,,,,,,,,,,
75CL Vin De Pays D' Oc Merlot Ormes,,"['en:france', 'en:reunion']",Boissons,Boissons alcoolisées,Vins,Boissons sans alcool,,,,,,,,,,,,,
Prosecco,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins italiens,,,,,,,,,,,,,
Médoc - Grand Vin de Bordeaux,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Bordeaux,,,,,,,,,,,
Christkindles Glühwein,,"['en:france', 'en:germany']",Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Autrement,57,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Pays d'Oc,IGP PAYS D'OC,,,,,,,,,,
"Ventoux AOP, rouge",,"['en:france', 'en:united-kingdom']",Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Zinfandel Rosé,45,"['en:france', 'en:germany']",Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs,,,,,,,,,,,,
Champagne brut Cordon Rouge,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,Champagnes,Champagnes français,Champagnes bruts,,,,,,,,,
Mouton Cadet,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Bordeaux,,,,,,,,,,,
