Name,EcoScore,Countries,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,Category_10,Category_11,Category_12,Category_13,Category_14,Category_15,Category_16,Category_17
Vin blanc,23,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
"Expert Club, Riesling, vin blanc, la bouteille de 75",,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Graves 2015,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,Graves,,,,,,,,,,,
Languedoc,33,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Languedoc,,,,,,,,,,,
"Expert Club, Gaillac, vin rose, la bouteille de 75",,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Cotes de rhone,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,,,,,,,,,,,,
Ile de Beauté Rosé,34,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,Corse,Île de Beauté,,,,,,,,,,
Rosé de loire,42,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Rosé de Loire Val de Loire,,,,,,,,,,,,
Crémant d'Alsace,35,"['en:france', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,Vins français,Crémant d'Alsace,,,,,,,,,,,,
Pineau des charente,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins français,Mistelle,Pineau des Charentes,,,,,,,,,,
Cabernet Sovignon Moelleux Pays d'oc,34,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Pays d'Oc,,,,,,,,,,,,
Bordeaux superieur,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,Bordeaux supérieur,,,,,,,,,,,
Chablis,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne,Vins blancs,Chablis,,,,,,,,,,
Côtes de provence,42,"['en:france', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,Vins français,Côtes de Provence,,,,,,,,,,,,
Vin,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,Côtes du Rhône Villages,,,,,,,,,,,
vin isatis,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Bourgogne Aligoté 2014,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne,Vins blancs,Bourgogne aligoté,,,,,,,,,,
Côtes de Bourg 2015,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,Côtes-de-bourg,,,,,,,,,,,
Vin rouge,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Cabernet sauvignon syrah,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Sable de camargue,57,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Sable de Camargue,,,,,,,,,,,,
Le clocher rouge,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Coteaux du Languedoc,,,,,,,,,,,,
Faugères 2013,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Faugères,,,,,,,,,,,,
Champagne Pop Extra Dry,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,Champagnes,Champagnes français,,,,,,,,,,
Chardonnay-Colombard 2011,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins d'Afrique du Sud,,,,,,,,,,,,,
Rivesaltes Hors d'Âge Ambré,48,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Rivesaltes,,,,,,,,,,
Duc de Pertignac Bordeaux 2014,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,,,,,,,,,,,,
Tandem Syrah du Maroc 2014,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Sylvaner Tradition,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Côtes du Rhône Rouge,43,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Côtes du Rhône,,,,,,,,,,,
Chateau chavrignac,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Lambrusco emilia,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins italiens,,,,,,,,,,,,,
Vin rouge,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Vin rouge Haut Boutet de Château Cantinet 2014,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
corbières boutenac,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
bourgogne aligoté 2017,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne,Vins blancs,Bourgogne aligoté,,,,,,,,,,
Vin Rouge,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
BORDEAUX ROSE,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,Vins rosés,Bordeaux Rosé,,,,,,,,,,
Château Griotte 2011,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Côtes du Rhône,,,,,,,,,,,
Vin rouge Merlo Montmirel,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Haut-Médoc,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,Vins du Médoc,Haut-Médoc,,,,,,,,,,
Bordeaux Supérieur,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,Bordeaux supérieur,,,,,,,,,,,
Chinon Tradition,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Chinon,,,,,,,,,,,,
Bordeaux Supérieur,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Vin rouge,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Côteaux d'Aix en Provence 2015,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Coteaux d'Aix-en-Provence,,,,,,,,,,,,
Apremont Vin de Savoie 2016,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vin de Savoie,,,,,,,,,,,,
El vino,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Beaujolais 2016,31,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Beaujolais,,,,,,,,,,,
Bordeaux Supérieur - 2017,59,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,Bordeaux supérieur,,,,,,,,,,,
Chateau de l'aumerade,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Collioure 2011,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Collioure,,,,,,,,,,,
Corbières 2014,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Corbières,,,,,,,,,,,,
Vin rosé Large Malartic,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Bordeaux 2016,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,,,,,,,,,,,,
La Chanterelle,36,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
Beaujolais Villages 2017,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Beaujolais Villages,,,,,,,,,,,
Vin blanc,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Pays d'Hérault Rouge,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Pays d'Hérault,,,,,,,,,,,
,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Glögg vinglögg,40,['en:france'],Boissons,Boissons alcoolisées,Vins,Boissons à base de vin,Vins aromatisés,,,,,,,,,,,,
Saint -Marc Ventoux,36,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,Côtes du Ventoux,,,,,,,,,,,,
Tsarine,35,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,Champagnes,Champagnes français,Champagnes bruts,,,,,,,,,
Pineau des charente,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins français,Mistelle,Pineau des Charentes,,,,,,,,,,
Cabernet Sovignon Moelleux Pays d'oc,34,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Pays d'Oc,,,,,,,,,,,,
Bordeaux superieur,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,Bordeaux supérieur,,,,,,,,,,,
Manadier,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Crozes Hermitage 2008,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Côtes du Rhône,Crozes-Hermitage,,,,,,,,,,
saint-chinian-les combes noires,27,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Côtes de provence,42,"['en:france', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,Vins français,Côtes de Provence,,,,,,,,,,,,
Vin,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,Côtes du Rhône Villages,,,,,,,,,,,
vin isatis,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
cairanne,27,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Vin rouge,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Champagne AOP 1er cru brut Louis Danremont,23,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,,,,,,,,,,,,
Comté tolosan,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs,,,,,,,,,,,,
Cuvee le soleiller,59,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,Vin rouge bio,,,,,,,,,,,,
Cabernet sauvignon syrah,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Sable de camargue,57,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Sable de Camargue,,,,,,,,,,,,
Vin blanc cuisine,28,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
terre sauvage,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Vin rouge bio,27,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Demi-sec,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins mousseux,,,,,,,,,,,,
Leccioni Chianti 2016,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins italiens,Chianti,,,,,,,,,,,,
Chardonnay-Colombard 2011,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins d'Afrique du Sud,,,,,,,,,,,,,
Il Vino dell' Amore,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins italiens,Vins mousseux,,,,,,,,,,,
Réserve des Tamaris 2010 - Fitou,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Fitou,,,,,,,,,,,
Aude Rouge,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Aude,,,,,,,,,,,
Sylvaner Tradition,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Chateau chavrignac,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Lambrusco emilia,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins italiens,,,,,,,,,,,,,
Bourgueil,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Bourgueil,,,,,,,,,,,
Cacqueyras,35,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Vin rouge,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Crémant d'Alsace Brut Cuvée Prestige,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Crémant d'Alsace,,,,,,,,,,,,
Château Lafoux,62,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,Coteaux Varois en Provence,,,,,,,,,,,
Chassagne-Montrachet Premier Cru Abbaye de Morgeot,59,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne,Vins rouges,Vins blancs,Chassagne-Montrachet,Chassagne-Montrachet premier cru Abbaye de Morgeot,,,,,,,,
Nuance 2012,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,Arbois,,,,,,,,,,,,
Prosecco doc Treviso Le Spinee,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins italiens,Prosecco,,,,,,,,,,,,
Château de la Motte,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs,Pacherenc du Vic-Bilh sec,,,,,,,,,,,
El vino,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Champagne Brut,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,Champagnes,Champagnes français,Champagnes bruts,,,,,,,,,
Crémant de Luxembourg Brut,,"['en:france', 'en:luxembourg']",Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins du Luxembourg,Vins mousseux,Crémant de Luxembourg,,,,,,,,,,
Beaujolais 2016,31,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Beaujolais,,,,,,,,,,,
Prosecco DOC di Treviso,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins italiens,Prosecco,,,,,,,,,,,,
Château Les Trois Serres,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Saint-Pourçain,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Bordeaux Supérieur - 2017,59,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,Bordeaux supérieur,,,,,,,,,,,
Chateau de l'aumerade,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
côte de Provence,39,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,Côtes de Provence,,,,,,,,,,,
Vin rosé Large Malartic,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Moët & Chandon Brut Impérial (magnum),36,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,,,,,,,,,,,,
Domaines Bunan - cuvée &quot;Bélouvé&quot; 2013,62,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,Côtes de Provence,,,,,,,,,,,
Cuvée des 3 Messes Basses,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,Ventoux,,,,,,,,,,,
Vin blanc,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Bulles,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
corbières,27,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
"Grand Marrenon Lubéron Rouge -,2013 Merken",44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Luberon,,,,,,,,,,,
Riesling Inspiration Terroirs,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,Vins blancs secs,,,,,,,,,,,,
Pinot Gris Vendanges tardives  2017,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,,,,,,,,,,,,,
Tariquet,29,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
Séguret,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Côtes du Rhône,Côtes du Rhône Villages,Côtes du Rhône Villages Séguret,,,,,,,,,
Mâcon Solutré-Pouilly 2017,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne,Vins rouges,Vins blancs,Vins du Mâconnais,Vins rosés,Mâcon,Mâcon Solutré Pouilly,,,,,,
Condrieu Le Rapillon 2016,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs,Condrieu,,,,,,,,,,,
Glögg vinglögg,40,['en:france'],Boissons,Boissons alcoolisées,Vins,Boissons à base de vin,Vins aromatisés,,,,,,,,,,,,
Saint-Amour,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Saint-Amour,,,,,,,,,,,
Pinot Grigio Delle Venezie,43,"['en:france', 'en:united-kingdom']",Boissons,Boissons alcoolisées,Vins,Vins blancs,Vins italiens,it:Delle Venezie,,,,,,,,,,,
Mirin seasoning,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Saint Nicolas de Bourgueil,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Saint-Nicolas-de-Bourgueil Val de Loire,,,,,,,,,,,
Chardonnay,,"['en:france', 'en:italy']",Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Rosé Gris,49,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,,,,,,,,,,,,
Bergerac,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bergerac,,,,,,,,,,,,
Vin rouge,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Vin rosé corse 2015,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Veuve Delattre,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,Champagnes,Champagnes français,,,,,,,,,,
vin,35,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Forestière et Au Muscat de Rivesaltes,35,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Muscats,Muscat de Rivesaltes,,,,,,,,,
cabernet sauvignon,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Côte du Rhône,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,,,,,,,,,,,,
Mâcon-Charnay 2015,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne,Vins rouges,Vins blancs,Vins du Mâconnais,Vins rosés,Mâcon,Mâcon Charnay-lès Mâcon,,,,,,
AOP Côtes du Rhône rouge 2015,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,,,,,,,,,,,,
Château La Rose de Palenne,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Juliénas,36,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Juliénas,,,,,,,,,,,
Apremont - Vin De Savoie,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Chateau De Berne Magnum,,"['en:france', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Graves 2014,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Vins blancs,Bordeaux,Graves,,,,,,,,,
Chateau la maragne,46,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,,,,,,,,,,,,
Sancerre,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Sancerre,,,,,,,,,,,,
Monbazillac 2014,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs,Monbazillac,Vins moelleux,,,,,,,,,,
Sylvaner 2015,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vin d'Alsace,Sylvaner,,,,,,,,,,,
Vin d'Alsace Pinot Blanc 2011,52,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs,Vin d'Alsace,,,,,,,,,,,
Vendanges tardives Gewurztraminer 2013,48,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins doux,Vins français,Vins blancs,Vin d'Alsace,,,,,,,,,,
El vino,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Montpeyroux Languedoc Cuvée Or,35,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
vin d'Alsace Weiber Riesling,36,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
Beaujolais 2016,31,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Beaujolais,,,,,,,,,,,
GIO,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,IGP PAYS D'OC,,,,,,,,,,,
Bordeaux Supérieur - 2017,59,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,Bordeaux supérieur,,,,,,,,,,,
Chateau de l'aumerade,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
L'ame du terroir crémant,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Crémant d'Alsace,,,,,,,,,,,,
Vigne de l'Enfant Jésus,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne,Vins rouges,Beaune,Beaune premier cru,,,,,,,,,
vin,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,,,,,,,,,,,,
Vin rosé Large Malartic,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Vin blanc,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Vallée du paradis,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vallée du Paradis,,,,,,,,,,,,
coq au vin de bergerac,2,['en:france'],Boissons,Boissons alcoolisées,Viandes et dérivés,Vins,Plats préparés,Vins français,Plats préparés à la viande,Plats à la volaille,Coq au vin,Bergerac,,,,,,,
Corbières,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
château Virecourt conté,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,Vin rouge bio,,,,,,,,,,,,
la fare les oliviers,38,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
Glögg vinglögg,40,['en:france'],Boissons,Boissons alcoolisées,Vins,Boissons à base de vin,Vins aromatisés,,,,,,,,,,,,
Tropical fruits fruity white,36,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
Vin rosé Pino de Savoie,30,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
reserve du bailly,27,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Méditerranée,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Rosé Gris,49,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,,,,,,,,,,,,
Cuvee le soleiller,59,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,Vin rouge bio,,,,,,,,,,,,
Ventoux les Molieres,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Ventoux,,,,,,,,,,,,
Côtes de gascogne,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes de Gascogne,,,,,,,,,,,,
Champagne brut Bio,60,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,Champagnes bio,,,,,,,,,,,
Côte de gascogne,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes de Gascogne,,,,,,,,,,,,
Bergerac,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bergerac,,,,,,,,,,,,
Vin rouge,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
vin,35,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Forestière et Au Muscat de Rivesaltes,35,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Muscats,Muscat de Rivesaltes,,,,,,,,,
Bordeaux,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux,,,,,,,,,,,,
Côte du Rhône,47,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,,,,,,,,,,,,
rosé,38,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rosés,,,,,,,,,,,,,
,37,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Chinon,,,,,,,,,,,,
AOP Côtes du Rhône rouge 2015,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône,,,,,,,,,,,,
Vin blanc cuisine,28,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
chardonnay,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins mousseux,,,,,,,,,,,,
Cahors 2013,50,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Cellier des Dauphins,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Côtes du Rhône,,,,,,,,,,,
Château La Rose de Palenne,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Apremont - Vin De Savoie,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Vin  blanc savoie 2016,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Vin de Savoie 2015 chevallier,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Chateau De Berne Magnum,,"['en:france', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Sylvaner Tradition,,['en:france'],Boissons,Boissons alcoolisées,Vins,,,,,,,,,,,,,,
Leccioni Chianti 2016,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins italiens,Chianti,,,,,,,,,,,,
Chateau la maragne,46,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,,,,,,,,,,,,
saint-chinian-les combes noires,27,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Demi-sec,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins mousseux,,,,,,,,,,,,
Côte des roses,44,"['en:france', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Sud de france,,,,,,,,,,,
Lambrusco / dell'emilia,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins italiens,it:Lambrusco dell'emilia,,,,,,,,,,,,
Saint Joseph Rouge JL Col,35,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Aude Rouge,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Aude,,,,,,,,,,,
Cerise sur le Gâteau,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Puy de Dôme,,,,,,,,,,,
Beauvignac Pays d'Oc Viognier 2011,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Pays d'Oc,,,,,,,,,,,,
Champagne brut,33,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents,Champagnes,Champagnes français,Champagnes bruts,,,,,,,,,
