Name,EcoScore,Category_1,Category_2,Category_3,Category_4,Category_5
Champagne Ruinart,23.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
20458072,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
Boulaouane gris,38.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
Muscat de Rivesaltes,47.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Solar 6,58.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Bon rouge,37.0,Boissons,Boissons alcoolisées,Vins,Vins français,Buzet
Vieux Papes,26.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,Vins de table
Les cepages du golfe,30.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
2015 Valtier Reserva,22.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Vin blanc sec,28.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,Vins blancs secs
Bordeaux rouge Bio 2012,59.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Cépage Muscat Blanc,39.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Bordeaux 2018,60.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Muscat de Frontignan,48.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Nicolas Feuillatte Champagne,33.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Sangria,20.0,Boissons,Boissons alcoolisées,Vins,Boissons alcoolisées pré-mélangées,Boissons alcoolisées à base de vin
La Chanterelle Vin blanc de Dordogne,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Bordeaux 2014 &quot;Cour de Mandelotte&quot;,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Baturrica,,Boissons,Boissons alcoolisées,Vins,Vins espagnols,
chateau ferrande ,37.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Cabernet Sauvignon Western Cellars,41.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
"Fabulous Muscat doux sans alcool 0,0%",60.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Gris Blanc rose,,Boissons,Boissons alcoolisées,Vins,,
Cabernet Sauvignon,,Boissons,Boissons alcoolisées,Vins,,
Muscat de Rivesaltes,45.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Porto Tawny Port 10 ans d'âge 20°,39.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Château Merrain Rouge,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Vin Blanc cuisine,28.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,
Sangre de Toro,35.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Vin,22.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Cabernet Sauvignon &quot;Tarani&quot; 2015,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,
Champagne Alfred Rothschild et Cie brut,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents
Vino blanco don simon,23.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,
Clairette de Die,37.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents
Chateau Montaurone Rosé 2010 75cl,62.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Côtes du Rhône 2014,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
costieres de Nîmes rosé,34.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Rosé,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Panache de Cyrano 2015,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Cotes du rhone village,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
Vin Grenache Pays d'Oc IGP Les Ormes de Cambras,46.0,Boissons,Boissons alcoolisées,Vins,Vins français,Pays d'Oc
Vin bordeau hausseman 2014,,Boissons,Boissons alcoolisées,Vins,,
Valrian,,Boissons,Boissons alcoolisées,Vins,Vin sans indication géographique,
Corse 2018,38.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
Ventoux 2017,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Ventoux
Côtes du Rhône Villages 2016,31.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Romanetti Bianco,23.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,
Autrement,60.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
"Bollinger Spécial Cuvée Brut 75 cl, 1 Bouteille",,Boissons,Boissons alcoolisées,Vins,Vins effervescents,
,36.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Vin Rosé AOC d'anjou Les Hauts Buis,39.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Champagne Brut Premier,44.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Demoiselle rosé,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents
Vin rouge de Gaillac,22.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Vin blanc,36.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,
Vin rouge,35.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Vin Bordeaux Rouge Bio AOP Expert Club,46.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Champagne Veuve Durand,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents
Bordeaux 2015,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Cellier des Dauphins Prestige Rosé 2015,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Champagne Brut,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents
"Muscat de Rivesaltes 15,5°",40.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Riesling 2013,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Côtes du Rhône Villages,36.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
beaujolais nouveau,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Beaujolais
Pineau blanc Charentes 17% vol Nos Régions Ont Du Talent,37.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins français
Roble Ribera del Duero,30.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,Vins espagnols
Beaujolais nouveau Pisse Dru,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Beaujolais
Prosecco,,Boissons,Boissons alcoolisées,Vins,Vins italiens,Prosecco
Bib 3L Rosé Piscine Vin Rosé,,Boissons,Boissons alcoolisées,Vins,,
Château Sénilhac haut médoc,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Fitou,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Very Ceris' Rosé Cerise,38.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,Vins aromatisés
Autrement,58.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
"Crémant D´Alsace, Schaumwein Brut",32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne
Rosé Cabernet d'Anjou,34.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Cuvée du Golfe de Saint-Tropez,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Plan de Dieu 2011,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Vin Blanc Sauternes,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Côtes du Rhône vieilles vignes A.O.C. 2017,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
Champagne Brut,36.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Tawny port,40.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Cotes du rhones,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
Porto Cruz blanc,45.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Monrillac pineau des charentes,45.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins français
"Côtes des Roses AOP, rosé",44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Adrien Champaud Merlot rond & fruité,51.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,Vin rouge bio
Lambrusco,32.0,Boissons,Boissons alcoolisées,Vins,Vins italiens,Vins rosés
Grand vin de Bordeaux,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,
Blanc de blancs brut,,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins mousseux
Bordeaux,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Boisson aromatisé à base de vin rosé pamplemousse 8°,40.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
blanc de blancs champagne,23.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Cuvée Hortense,36.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,
Gris,25.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
Vin de pays d'Oc Cabernet sauvignon I.G.P. - Bag-in-Box®,37.0,Boissons,Boissons alcoolisées,Vins,Vins français,Pays d'Oc
Grande Réserve Mas Olivier,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Crozes Hermitage,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Crozes-Hermitage
crémant de limoux,37.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents
Lambrusco,,Boissons,Boissons alcoolisées,Vins,Vins italiens,it:Lambrusco dell'emilia
Vin rouge Marquis de chasse bordeaux 2016,31.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Ids Pineau Blanc,42.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins français
Autrement,60.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Champagne Charles Lafitte Belle Cuvée Brut,23.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Trilles - Blanc sec - Vin de France,42.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Vin de Pays d'Oc Merlot bio I.G.P.,52.0,Boissons,Boissons alcoolisées,Vins,Vins français,Pays d'Oc
Rosé Pamplemousse,38.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,Vins aromatisés
75CL CABERNET ANJOU ROSE,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Bordeaux Supérieur Versant Royal 13°,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,en:bordeaux
